outer_test_participant,family,candidate_id,candidate_order,params,participant_mean_balanced_accuracy,n_validation_participants
S7,random_forest,"random_forest:max_depth=6,min_samples_leaf=5,class_weight=balanced",5,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 5}",0.8392059694691273,14
S7,random_forest,"random_forest:max_depth=6,min_samples_leaf=2,class_weight=None",6,"{""class_weight"": null, ""max_depth"": 6, ""min_samples_leaf"": 2}",0.8482304245462141,14
S7,random_forest,"random_forest:max_depth=6,min_samples_leaf=2,class_weight=balanced",7,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 2}",0.8456501101237943,14
S7,xgboost,"xgboost:max_depth=2,learning_rate=0.03,class_weight_mode=none",0,"{""class_weight_mode"": ""none"", ""learning_rate"": 0.03, ""max_depth"": 2}",0.8961969317232474,14
S7,xgboost,"xgboost:max_depth=2,learning_rate=0.03,class_weight_mode=training_ratio",1,"{""class_weight_mode"": ""training_ratio"", ""learning_rate"": 0.03, ""max_depth"": 2}",0.898951925267715,14
S7,xgboost,"xgboost:max_depth=2,learning_rate=0.1,class_weight_mode=none",2,"{""class_weight_mode"": ""none"", ""learning_rate"": 0.1, ""max_depth"": 2}",0.9115364167995745,14
S7,xgboost,"xgboost:max_depth=2,learning_rate=0.1,class_weight_mode=training_ratio",3,"{""class_weight_mode"": ""training_ratio"", ""learning_rate"": 0.1, ""max_depth"": 2}",0.916286929444824,14
S7,xgboost,"xgboost:max_depth=3,learning_rate=0.03,class_weight_mode=none",4,"{""class_weight_mode"": ""none"", ""learning_rate"": 0.03, ""max_depth"": 3}",0.8816719829877725,14
S7,xgboost,"xgboost:max_depth=3,learning_rate=0.03,class_weight_mode=training_ratio",5,"{""class_weight_mode"": ""training_ratio"", ""learning_rate"": 0.03, ""max_depth"": 3}",0.8839978734715576,14
S7,xgboost,"xgboost:max_depth=3,learning_rate=0.1,class_weight_mode=none",6,"{""class_weight_mode"": ""none"", ""learning_rate"": 0.1, ""max_depth"": 3}",0.8971348826611985,14
S7,xgboost,"xgboost:max_depth=3,learning_rate=0.1,class_weight_mode=training_ratio",7,"{""class_weight_mode"": ""training_ratio"", ""learning_rate"": 0.1, ""max_depth"": 3}",0.9118895724158882,14
S8,logistic,"logistic:C=0.1,class_weight=None",0,"{""C"": 0.1, ""class_weight"": null}",0.8709557985873776,14
S8,logistic,"logistic:C=0.1,class_weight=balanced",1,"{""C"": 0.1, ""class_weight"": ""balanced""}",0.8486082630819475,14
S8,logistic,"logistic:C=1.0,class_weight=None",2,"{""C"": 1.0, ""class_weight"": null}",0.8418736234525709,14
S8,logistic,"logistic:C=1.0,class_weight=balanced",3,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.8286321865269234,14
S8,logistic,"logistic:C=10.0,class_weight=None",4,"{""C"": 10.0, ""class_weight"": null}",0.8273695602642971,14
S8,logistic,"logistic:C=10.0,class_weight=balanced",5,"{""C"": 10.0, ""class_weight"": ""balanced""}",0.8250816435026963,14
S8,random_forest,"random_forest:max_depth=3,min_samples_leaf=5,class_weight=None",0,"{""class_weight"": null, ""max_depth"": 3, ""min_samples_leaf"": 5}",0.8212216146426673,14
S8,random_forest,"random_forest:max_depth=3,min_samples_leaf=5,class_weight=balanced",1,"{""class_weight"": ""balanced"", ""max_depth"": 3, ""min_samples_leaf"": 5}",0.8111092124250018,14
S8,random_forest,"random_forest:max_depth=3,min_samples_leaf=2,class_weight=None",2,"{""class_weight"": null, ""max_depth"": 3, ""min_samples_leaf"": 2}",0.8152369560264298,14
S8,random_forest,"random_forest:max_depth=3,min_samples_leaf=2,class_weight=balanced",3,"{""class_weight"": ""balanced"", ""max_depth"": 3, ""min_samples_leaf"": 2}",0.8092295131768815,14
S8,random_forest,"random_forest:max_depth=6,min_samples_leaf=5,class_weight=None",4,"{""class_weight"": null, ""max_depth"": 6, ""min_samples_leaf"": 5}",0.8150489861016176,14
S8,random_forest,"random_forest:max_depth=6,min_samples_leaf=5,class_weight=balanced",5,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 5}",0.8308650413913571,14
S8,random_forest,"random_forest:max_depth=6,min_samples_leaf=2,class_weight=None",6,"{""class_weight"": null, ""max_depth"": 6, ""min_samples_leaf"": 2}",0.8323327257537784,14
